caseid,female,palin,pid
91,Female,Very Favorable,Independent
92,Male,Somewhat Favorable,Independent
93,Male,Very Unfavorable,Independent
94,Female,Very Unfavorable,Independent
97,Female,Very Favorable,Independent
98,Female,Very Unfavorable,Democrat
100,Female,Very Favorable,Democrat
101,Female,Somewhat Unfavorable,Democrat
102,Male,Somewhat Favorable,GOP
103,Male,Very Favorable,Independent
104,Male,Very Favorable,GOP
105,Female,Somewhat Unfavorable,Independent
106,Female,Very Favorable,GOP
107,Female,Somewhat Unfavorable,Democrat
108,Male,Somewhat Unfavorable,Independent
111,Female,Very Unfavorable,Democrat
113,Male,Very Unfavorable,Democrat
114,Female,Somewhat Favorable,GOP
115,Female,Somewhat Favorable,GOP
117,Female,Somewhat Favorable,GOP
118,Female,Very Unfavorable,Democrat
119,Female,Very Unfavorable,Independent
120,Female,Somewhat Favorable,Democrat
122,Female,Very Favorable,GOP
123,Female,Very Favorable,GOP
124,Female,Very Unfavorable,Democrat
125,Male,Very Favorable,Independent
138,Female,Very Favorable,GOP
140,Female,Somewhat Unfavorable,GOP
141,Male,Somewhat Favorable,GOP
144,Male,Somewhat Favorable,Independent
145,Female,Somewhat Favorable,Democrat
146,Male,Somewhat Unfavorable,Democrat
147,Male,Very Favorable,GOP
148,Male,Somewhat Unfavorable,Independent
149,Male,Very Unfavorable,Democrat
150,Male,Very Favorable,Independent
151,Female,Somewhat Favorable,Democrat
152,Male,Somewhat Favorable,GOP
153,Male,Very Unfavorable,Democrat
154,Male,Very Favorable,GOP
155,Male,Somewhat Favorable,GOP
156,Female,Very Unfavorable,Independent
157,Male,Very Favorable,Independent
158,Male,Somewhat Unfavorable,Democrat
159,Male,Very Unfavorable,Democrat
160,Male,Somewhat Favorable,Independent
166,Female,Very Favorable,GOP
167,Male,Somewhat Favorable,GOP
169,Male,Very Favorable,Independent
170,Female,Somewhat Unfavorable,Democrat
171,Male,Very Unfavorable,Democrat
176,Male,Somewhat Favorable,Independent
177,Male,Very Favorable,Independent
178,Male,Very Favorable,Independent
184,Male,Very Favorable,GOP
185,Female,Somewhat Unfavorable,Democrat
187,Male,Very Favorable,GOP
192,Male,Somewhat Favorable,GOP
194,Male,Very Favorable,Independent
195,Male,Very Favorable,GOP
196,Female,Somewhat Favorable,Democrat
199,Male,Very Favorable,GOP
205,Male,Very Favorable,GOP
206,Male,Very Favorable,GOP
207,Female,Somewhat Favorable,GOP
214,Female,Very Favorable,Independent
217,Female,Somewhat Favorable,Democrat
218,Female,Very Favorable,Independent
10000,Female,Somewhat Favorable,GOP
10001,Female,Very Favorable,Independent
10003,Female,Very Favorable,GOP
10005,Male,Very Favorable,GOP
10006,Male,Very Unfavorable,Democrat
10007,Male,Very Favorable,Independent
10008,Male,Very Favorable,GOP
10009,Male,Somewhat Unfavorable,Independent
10010,Male,Very Unfavorable,Democrat
10011,Female,Somewhat Favorable,GOP
10012,Male,Somewhat Favorable,GOP
10013,Female,Very Favorable,GOP
10014,Male,Very Favorable,Independent
10016,Male,Very Favorable,GOP
10017,Male,Somewhat Favorable,GOP
10018,Male,Very Favorable,Independent
10019,Male,Very Unfavorable,Democrat
10022,Female,Very Unfavorable,Democrat
10023,Female,Somewhat Unfavorable,GOP
10024,Male,Somewhat Unfavorable,GOP
10025,Female,Very Favorable,GOP
10026,Female,Very Unfavorable,Democrat
10028,Female,Very Unfavorable,Independent
10029,Female,Very Favorable,Independent
10030,Male,Very Unfavorable,Independent
10031,Female,Very Unfavorable,Democrat
10032,Female,Very Unfavorable,Democrat
10033,Female,Very Unfavorable,Democrat
10034,Female,Very Favorable,GOP
10035,Male,Very Favorable,GOP
10038,Male,Somewhat Unfavorable,Democrat
10039,Male,Very Favorable,GOP
10040,Female,Very Unfavorable,Independent
10041,Male,Very Favorable,GOP
10042,Female,Very Favorable,Independent
10043,Male,Very Unfavorable,Democrat
10045,Male,Somewhat Favorable,GOP
10046,Female,Very Unfavorable,Democrat
10047,Male,Very Unfavorable,Democrat
10048,Male,Somewhat Unfavorable,Democrat
10049,Male,Very Favorable,Independent
10050,Female,Somewhat Favorable,Democrat
10052,Male,Very Unfavorable,Independent
10053,Female,Very Favorable,GOP
10055,Female,Very Favorable,GOP
10057,Female,Very Unfavorable,Democrat
10058,Female,Somewhat Favorable,Democrat
10059,Female,Very Favorable,GOP
10060,Female,Somewhat Unfavorable,Independent
10061,Female,Somewhat Unfavorable,Democrat
10064,Female,Very Favorable,GOP
10065,Female,Very Unfavorable,Democrat
10067,Female,Very Unfavorable,Democrat
10068,Female,Somewhat Favorable,Independent
10069,Female,Somewhat Favorable,GOP
10070,Female,Very Unfavorable,GOP
10072,Female,Very Favorable,GOP
10074,Male,Very Unfavorable,Democrat
10078,Male,Very Favorable,GOP
10079,Male,Somewhat Favorable,Democrat
10080,Female,Somewhat Favorable,GOP
10081,Male,Very Unfavorable,Democrat
10083,Female,Very Favorable,GOP
10084,Female,Very Favorable,Independent
10085,Female,Very Unfavorable,Democrat
10087,Male,Very Unfavorable,Democrat
10089,Female,Somewhat Favorable,Democrat
10091,Male,Somewhat Favorable,Independent
10092,Female,Somewhat Favorable,Democrat
10094,Female,Very Unfavorable,Democrat
10095,Female,Somewhat Favorable,GOP
10096,Female,Very Favorable,GOP
10097,Male,Somewhat Unfavorable,Democrat
10098,Male,Somewhat Favorable,Democrat
10099,Male,Somewhat Favorable,GOP
10103,Male,Very Favorable,Independent
10104,Male,Very Favorable,GOP
10105,Male,Very Unfavorable,Independent
10106,Female,Very Unfavorable,Democrat
10108,Male,Very Unfavorable,Democrat
10109,Male,Very Unfavorable,Independent
10110,Male,Very Unfavorable,Democrat
10112,Female,Somewhat Favorable,GOP
10113,Male,Very Favorable,GOP
10115,Female,Somewhat Favorable,Independent
10116,Male,Very Favorable,GOP
10117,Female,Very Unfavorable,Democrat
10118,Female,Somewhat Favorable,Democrat
10119,Male,Very Favorable,Independent
10120,Male,Somewhat Favorable,Independent
10121,Female,Somewhat Unfavorable,Democrat
10122,Female,Very Favorable,Independent
10123,Male,Very Unfavorable,Democrat
10124,Female,Very Unfavorable,Democrat
10125,Male,Very Unfavorable,Democrat
10127,Female,Somewhat Favorable,GOP
10128,Female,Very Unfavorable,Democrat
10129,Male,Very Favorable,Independent
10130,Male,Very Favorable,GOP
10132,Male,Very Favorable,Independent
10133,Female,Somewhat Unfavorable,Independent
10134,Female,Very Favorable,GOP
10135,Male,Very Favorable,Independent
10138,Male,Very Favorable,GOP
10139,Male,Somewhat Unfavorable,Democrat
10140,Male,Very Unfavorable,Independent
10141,Male,Very Favorable,GOP
10143,Male,Somewhat Unfavorable,Democrat
10144,Female,Somewhat Unfavorable,Democrat
10146,Female,Somewhat Unfavorable,Democrat
10147,Male,Somewhat Favorable,GOP
10149,Male,Very Favorable,Independent
10150,Female,Somewhat Unfavorable,Independent
10151,Female,Somewhat Unfavorable,Democrat
10152,Male,Very Favorable,GOP
10153,Male,Very Favorable,GOP
10154,Female,Very Unfavorable,Democrat
10156,Female,Very Favorable,GOP
10158,Male,Somewhat Favorable,GOP
10160,Male,Very Favorable,GOP
10161,Male,Somewhat Unfavorable,Democrat
10162,Male,Very Favorable,GOP
10163,Male,Very Favorable,Independent
10165,Male,Very Favorable,Independent
10170,Female,Very Unfavorable,Democrat
10171,Female,Very Favorable,GOP
10172,Female,Somewhat Unfavorable,Independent
10173,Female,Very Favorable,GOP
10175,Female,Somewhat Unfavorable,Independent
10178,Male,Very Favorable,GOP
10180,Female,Very Unfavorable,Independent
10185,Female,Very Unfavorable,Independent
10186,Female,Very Unfavorable,Democrat
10188,Male,Very Favorable,Independent
10189,Male,Somewhat Favorable,Independent
10190,Male,Very Unfavorable,Democrat
10191,Male,Very Unfavorable,Independent
10193,Female,Very Favorable,Independent
10194,Male,Somewhat Favorable,Independent
10195,Female,Very Unfavorable,Democrat
10199,Female,Somewhat Favorable,Democrat
10200,Male,Very Favorable,GOP
10201,Female,Somewhat Favorable,GOP
10202,Female,Somewhat Favorable,Democrat
10203,Male,Very Favorable,Democrat
10205,Male,Somewhat Unfavorable,GOP
10208,Female,Somewhat Favorable,Independent
10210,Female,Somewhat Unfavorable,Democrat
10215,Male,Very Favorable,Independent
10216,Male,Very Favorable,Independent
10217,Male,Very Unfavorable,Independent
10220,Male,Somewhat Favorable,Independent
10221,Male,Very Favorable,Independent
10224,Male,Very Favorable,Independent
10227,Male,Very Favorable,Independent
10230,Female,Somewhat Favorable,GOP
10232,Female,Very Unfavorable,Democrat
10233,Female,Very Favorable,Democrat
10234,Male,Very Favorable,GOP
10235,Male,Very Favorable,GOP
10237,Female,Very Favorable,GOP
10238,Male,Somewhat Unfavorable,Independent
10239,Female,Somewhat Favorable,Democrat
10240,Male,Very Favorable,GOP
10242,Female,Somewhat Favorable,Independent
10243,Male,Somewhat Favorable,GOP
10244,Female,Very Unfavorable,Democrat
10245,Female,Somewhat Unfavorable,Democrat
10246,Female,Somewhat Unfavorable,GOP
10248,Male,Very Unfavorable,Democrat
10250,Female,Very Favorable,GOP
10252,Female,Very Favorable,GOP
10253,Male,Very Favorable,GOP
10254,Male,Somewhat Unfavorable,Democrat
10255,Male,Somewhat Unfavorable,Democrat
10257,Male,Somewhat Favorable,GOP
10258,Male,Somewhat Unfavorable,Independent
10259,Male,Very Favorable,Independent
10260,Male,Somewhat Favorable,GOP
10262,Male,Somewhat Favorable,Independent
10263,Male,Very Favorable,Independent
10264,Male,Somewhat Favorable,Independent
10265,Female,Very Favorable,Independent
10266,Male,Very Favorable,Independent
10268,Male,Very Unfavorable,Democrat
10269,Male,Very Unfavorable,Democrat
10270,Female,Somewhat Unfavorable,Democrat
10272,Female,Very Favorable,Independent
10274,Male,Very Favorable,GOP
10275,Female,Very Favorable,Democrat
10278,Male,Somewhat Favorable,Independent
10282,Female,Somewhat Favorable,Independent
10283,Male,Somewhat Unfavorable,Independent
10284,Male,Very Favorable,GOP
10286,Female,Very Favorable,GOP
10287,Male,Very Favorable,GOP
10288,Female,Very Unfavorable,GOP
10290,Male,Somewhat Favorable,GOP
10294,Female,Very Favorable,Independent
10295,Female,Somewhat Favorable,Independent
10296,Male,Very Unfavorable,GOP
10297,Male,Very Unfavorable,Democrat
10298,Female,Very Unfavorable,Democrat
10299,Female,Very Unfavorable,Democrat
10301,Male,Very Unfavorable,Democrat
10302,Male,Very Unfavorable,Independent
10303,Female,Somewhat Favorable,Independent
10304,Female,Somewhat Unfavorable,Independent
10305,Male,Very Favorable,GOP
10312,Female,Somewhat Unfavorable,Democrat
10313,Male,Somewhat Favorable,GOP
10316,Male,Somewhat Favorable,GOP
10317,Female,Very Unfavorable,Democrat
10319,Male,Very Favorable,Independent
10320,Female,Very Unfavorable,Democrat
10322,Male,Somewhat Favorable,Independent
10326,Female,Very Unfavorable,Democrat
10327,Female,Very Favorable,GOP
10330,Male,Very Unfavorable,Democrat
10331,Female,Very Favorable,GOP
10332,Male,Very Favorable,GOP
10333,Male,Somewhat Favorable,Democrat
10334,Female,Very Favorable,Democrat
10335,Female,Very Favorable,Independent
10336,Male,Very Favorable,Independent
10339,Male,Very Unfavorable,Democrat
10340,Male,Very Favorable,GOP
10344,Female,Very Favorable,Independent
10347,Male,Very Favorable,GOP
10349,Male,Somewhat Favorable,Democrat
10350,Female,Very Unfavorable,Independent
10351,Male,Somewhat Favorable,Independent
10352,Male,Very Favorable,GOP
10355,Female,Very Unfavorable,Democrat
10356,Female,Somewhat Unfavorable,Democrat
10358,Female,Somewhat Unfavorable,Democrat
10359,Female,Somewhat Favorable,GOP
10360,Male,Somewhat Favorable,GOP
10363,Female,Very Unfavorable,Democrat
10366,Female,Somewhat Favorable,Democrat
10367,Female,Somewhat Favorable,Democrat
10370,Female,Somewhat Unfavorable,Democrat
10372,Female,Somewhat Favorable,GOP
10373,Female,Very Favorable,GOP
10377,Female,Very Unfavorable,Democrat
10378,Female,Very Favorable,GOP
10379,Female,Very Favorable,GOP
10380,Male,Somewhat Favorable,GOP
10381,Male,Very Unfavorable,Independent
10382,Female,Very Favorable,GOP
10383,Male,Somewhat Unfavorable,Democrat
10384,Female,Somewhat Unfavorable,Democrat
10385,Male,Somewhat Favorable,Independent
10386,Female,Somewhat Favorable,GOP
10387,Male,Very Favorable,GOP
10388,Female,Very Unfavorable,Democrat
10389,Male,Somewhat Unfavorable,Independent
10391,Male,Somewhat Unfavorable,Independent
10392,Female,Very Favorable,Independent
10393,Female,Very Favorable,Independent
10394,Male,Very Favorable,Independent
10395,Male,Very Unfavorable,Independent
10397,Male,Very Favorable,Independent
10399,Male,Very Favorable,GOP
10400,Male,Very Favorable,GOP
10405,Female,Very Unfavorable,Democrat
10406,Male,Somewhat Favorable,Democrat
10408,Male,Very Favorable,GOP
10410,Male,Somewhat Favorable,GOP
10412,Male,Very Favorable,GOP
10413,Male,Very Favorable,GOP
10414,Male,Very Favorable,Independent
10415,Female,Very Favorable,GOP
10416,Female,Somewhat Favorable,Independent
10417,Female,Somewhat Favorable,Democrat
10418,Female,Very Favorable,Independent
10419,Male,Very Favorable,GOP
10421,Male,Somewhat Unfavorable,Democrat
10422,Female,Very Favorable,GOP
10423,Male,Very Favorable,GOP
10424,Male,Very Favorable,GOP
10429,Male,Very Unfavorable,Democrat
10431,Female,Very Unfavorable,Independent
10432,Male,Very Favorable,GOP
10433,Female,Somewhat Favorable,GOP
10434,Male,Very Unfavorable,Democrat
10436,Male,Very Favorable,Independent
10439,Male,Very Favorable,GOP
10440,Female,Very Favorable,GOP
10441,Male,Very Unfavorable,Democrat
10445,Male,Somewhat Favorable,Democrat
10446,Male,Somewhat Favorable,Independent
10450,Female,Very Favorable,Independent
10452,Male,Very Favorable,GOP
10453,Female,Somewhat Favorable,Independent
10457,Female,Very Unfavorable,Democrat
10458,Male,Very Unfavorable,Democrat
10459,Female,Very Favorable,GOP
10461,Female,Very Unfavorable,Independent
10462,Female,Very Unfavorable,Independent
10465,Male,Somewhat Favorable,Democrat
10466,Female,Very Unfavorable,Democrat
10469,Male,Somewhat Favorable,Independent
10471,Male,Somewhat Favorable,Independent
10472,Male,Very Favorable,GOP
10475,Female,Somewhat Unfavorable,Democrat
10476,Male,Very Favorable,Independent
10477,Male,Very Unfavorable,Independent
10478,Male,Very Favorable,GOP
10479,Male,Somewhat Favorable,Democrat
10480,Female,Very Unfavorable,Democrat
10481,Female,Somewhat Favorable,GOP
10482,Male,Very Unfavorable,Democrat
10483,Female,Very Favorable,GOP
10484,Female,Somewhat Favorable,GOP
10486,Male,Very Favorable,Independent
10487,Female,Very Unfavorable,Democrat
10490,Male,Very Favorable,GOP
10492,Male,Somewhat Favorable,GOP
10494,Female,Very Unfavorable,Democrat
10495,Female,Very Unfavorable,Democrat
10497,Male,Somewhat Favorable,Independent
10500,Female,Very Unfavorable,Independent
10503,Female,Somewhat Unfavorable,GOP
10504,Male,Very Unfavorable,Democrat
10506,Male,Somewhat Favorable,Independent
10507,Female,Very Unfavorable,Independent
10508,Female,Very Unfavorable,Democrat
10511,Male,Very Unfavorable,Independent
10513,Male,Very Unfavorable,Democrat
10521,Female,Very Unfavorable,Democrat
10524,Female,Very Favorable,GOP
10525,Male,Very Unfavorable,Democrat
10526,Female,Very Favorable,GOP
10536,Female,Very Favorable,GOP
10537,Male,Very Favorable,GOP
10539,Male,Very Unfavorable,Independent
10542,Female,Very Favorable,GOP
10545,Female,Very Favorable,GOP
10548,Female,Somewhat Favorable,GOP
10550,Male,Somewhat Favorable,Independent
10551,Male,Very Favorable,GOP
10553,Female,Somewhat Favorable,GOP
10554,Male,Somewhat Favorable,Independent
10555,Female,Somewhat Favorable,GOP
10556,Male,Very Favorable,Independent
10557,Female,Very Favorable,GOP
10558,Male,Very Favorable,Independent
10559,Male,Very Favorable,GOP
10560,Male,Somewhat Favorable,GOP
10561,Female,Somewhat Favorable,Independent
10562,Female,Very Unfavorable,Democrat
10563,Female,Somewhat Favorable,GOP
10564,Female,Somewhat Favorable,GOP
10565,Male,Very Unfavorable,Democrat
10567,Female,Very Unfavorable,Independent
10570,Female,Somewhat Favorable,Democrat
10571,Female,Very Unfavorable,Democrat
10576,Female,Very Favorable,Democrat
10577,Female,Somewhat Unfavorable,Independent
10578,Male,Very Favorable,Independent
10580,Female,Somewhat Unfavorable,Democrat
10581,Male,Very Favorable,Independent
10582,Female,Very Favorable,GOP
10583,Male,Very Unfavorable,Independent
10585,Female,Somewhat Unfavorable,Democrat
10587,Male,Very Favorable,Independent
10588,Male,Very Favorable,GOP
10589,Male,Very Unfavorable,Democrat
10590,Male,Very Favorable,GOP
10592,Female,Very Favorable,Democrat
10593,Female,Very Favorable,Democrat
10596,Female,Somewhat Favorable,GOP
10598,Male,Very Favorable,Independent
10600,Male,Somewhat Favorable,Independent
10601,Female,Very Favorable,GOP
10602,Female,Very Favorable,GOP
10603,Female,Very Favorable,GOP
10605,Male,Very Unfavorable,Democrat
10606,Male,Very Unfavorable,Democrat
10607,Male,Very Favorable,Independent
10608,Male,Very Unfavorable,Independent
10609,Male,Very Favorable,GOP
10610,Male,Somewhat Favorable,GOP
10614,Female,Very Favorable,Independent
10616,Male,Somewhat Favorable,GOP
10621,Male,Very Unfavorable,Democrat
10622,Female,Very Unfavorable,Democrat
10623,Female,Very Favorable,Independent
10624,Female,Very Favorable,GOP
10625,Female,Very Favorable,GOP
10626,Male,Somewhat Favorable,Independent
10627,Male,Very Unfavorable,Democrat
10634,Male,Very Favorable,Democrat
10635,Male,Very Unfavorable,Democrat
10636,Male,Somewhat Unfavorable,Independent
10637,Female,Very Favorable,GOP
10639,Female,Somewhat Favorable,Democrat
10640,Female,Somewhat Unfavorable,Independent
10641,Female,Very Favorable,GOP
10643,Female,Very Unfavorable,Democrat
10644,Female,Very Favorable,GOP
10646,Female,Very Favorable,Independent
10647,Female,Very Unfavorable,Democrat
10648,Female,Very Favorable,GOP
10651,Female,Very Favorable,Democrat
10652,Female,Somewhat Unfavorable,Democrat
10654,Female,Somewhat Favorable,GOP
10655,Female,Very Unfavorable,Democrat
10658,Female,Somewhat Favorable,Independent
10661,Female,Very Unfavorable,Independent
10662,Female,Very Unfavorable,Democrat
10663,Female,Somewhat Favorable,Independent
10665,Female,Somewhat Favorable,Democrat
10666,Female,Very Favorable,Independent
10667,Female,Very Favorable,GOP
10668,Female,Very Unfavorable,Democrat
10669,Female,Somewhat Unfavorable,Independent
10671,Female,Somewhat Favorable,Independent
10672,Male,Very Favorable,GOP
10673,Male,Very Favorable,Democrat
10674,Female,Very Unfavorable,Democrat
10685,Female,Somewhat Favorable,GOP
10688,Male,Very Favorable,Independent
10691,Female,Very Unfavorable,Independent
10692,Male,Somewhat Favorable,GOP
10693,Male,Somewhat Favorable,Independent
10696,Male,Somewhat Unfavorable,GOP
10701,Male,Somewhat Unfavorable,Democrat
10702,Female,Somewhat Favorable,Democrat
10705,Female,Very Favorable,GOP
10707,Female,Very Favorable,GOP
10713,Female,Somewhat Favorable,GOP
10714,Male,Very Favorable,GOP
10715,Female,Very Favorable,Democrat
10717,Female,Somewhat Favorable,GOP
10721,Male,Somewhat Unfavorable,Democrat
10722,Female,Very Unfavorable,Democrat
10723,Male,Very Favorable,GOP
10726,Male,Very Favorable,GOP
10729,Male,Very Unfavorable,Independent
10730,Female,Somewhat Favorable,Democrat
10731,Female,Somewhat Favorable,Independent
10732,Male,Somewhat Favorable,Independent
10733,Male,Very Unfavorable,Democrat
10734,Male,Somewhat Favorable,Democrat
10735,Male,Very Unfavorable,Democrat
10736,Male,Very Unfavorable,Independent
10738,Female,Somewhat Favorable,Democrat
10739,Female,Very Favorable,Independent
10743,Female,Somewhat Favorable,Democrat
10744,Male,Somewhat Favorable,GOP
10746,Male,Somewhat Favorable,Democrat
10748,Male,Somewhat Unfavorable,Independent
10749,Male,Very Favorable,GOP
10751,Female,Very Favorable,Independent
10753,Male,Somewhat Unfavorable,Democrat
10754,Female,Very Unfavorable,Democrat
10755,Female,Very Unfavorable,Independent
10756,Male,Somewhat Unfavorable,Independent
10757,Male,Very Unfavorable,Democrat
10758,Male,Very Unfavorable,Democrat
10760,Female,Somewhat Favorable,GOP
10763,Female,Somewhat Favorable,Democrat
10764,Female,Very Favorable,GOP
10766,Female,Somewhat Unfavorable,Democrat
10767,Female,Somewhat Unfavorable,Democrat
10770,Female,Somewhat Favorable,GOP
10771,Male,Somewhat Unfavorable,Independent
10773,Female,Very Favorable,GOP
10776,Female,Somewhat Unfavorable,Democrat
10777,Female,Very Favorable,GOP
10778,Female,Very Unfavorable,Democrat
10779,Female,Somewhat Favorable,GOP
10781,Male,Somewhat Unfavorable,Democrat
10782,Male,Very Favorable,Independent
10784,Female,Somewhat Favorable,Democrat
10785,Male,Somewhat Unfavorable,Democrat
10786,Female,Very Favorable,GOP
10787,Female,Very Favorable,GOP
10788,Female,Somewhat Favorable,Independent
10789,Male,Very Favorable,Independent
10791,Female,Very Unfavorable,Democrat
10792,Female,Somewhat Favorable,GOP
10794,Female,Very Favorable,Independent
10795,Male,Somewhat Unfavorable,Democrat
10796,Male,Very Favorable,GOP
10797,Male,Very Favorable,GOP
10799,Male,Very Favorable,GOP
10801,Male,Very Favorable,Independent
10802,Female,Very Favorable,GOP
10803,Female,Very Favorable,GOP
10804,Female,Very Favorable,GOP
10805,Female,Somewhat Favorable,Independent
10807,Male,Very Favorable,GOP
10812,Male,Very Favorable,GOP
10813,Male,Very Favorable,Independent
10815,Male,Very Favorable,GOP
10820,Female,Very Unfavorable,Independent
10824,Female,Very Favorable,GOP
10831,Female,Very Favorable,Independent
10832,Female,Very Favorable,GOP
10833,Female,Very Favorable,Independent
10834,Female,Somewhat Favorable,GOP
10835,Female,Very Favorable,Independent
10836,Male,Somewhat Unfavorable,GOP
10839,Female,Very Favorable,GOP
10840,Female,Very Unfavorable,Democrat
10841,Female,Somewhat Favorable,GOP
10842,Male,Somewhat Unfavorable,Independent
10843,Female,Very Unfavorable,Democrat
10845,Male,Somewhat Favorable,GOP
10848,Female,Very Favorable,GOP
10853,Female,Very Favorable,GOP
10860,Male,Somewhat Favorable,GOP
10862,Female,Very Unfavorable,Democrat
10863,Male,Somewhat Unfavorable,Independent
10866,Male,Somewhat Favorable,Democrat
10868,Male,Somewhat Favorable,Democrat
10869,Male,Somewhat Favorable,GOP
10871,Female,Very Unfavorable,Democrat
10872,Male,Very Favorable,GOP
10874,Male,Somewhat Favorable,Democrat
10877,Female,Somewhat Unfavorable,Democrat
10878,Female,Very Favorable,GOP
10880,Female,Somewhat Favorable,Democrat
10883,Female,Very Favorable,GOP
10885,Female,Very Favorable,GOP
10886,Male,Somewhat Favorable,Independent
10887,Male,Very Unfavorable,Democrat
10888,Male,Very Unfavorable,Democrat
10889,Male,Very Favorable,GOP
10890,Female,Very Unfavorable,Democrat
10892,Female,Somewhat Unfavorable,Democrat
10893,Female,Very Unfavorable,Democrat
10897,Female,Somewhat Favorable,GOP
10898,Female,Somewhat Favorable,Independent
10900,Female,Very Favorable,Independent
10901,Female,Very Unfavorable,Democrat
10902,Male,Very Unfavorable,Democrat
10903,Female,Somewhat Favorable,Independent
10904,Female,Somewhat Favorable,GOP
10907,Female,Very Favorable,GOP
10908,Female,Somewhat Unfavorable,Democrat
10910,Male,Very Favorable,GOP
10912,Male,Very Unfavorable,Democrat
10913,Male,Very Unfavorable,Independent
10914,Male,Somewhat Unfavorable,Democrat
10915,Male,Somewhat Favorable,Independent
10916,Female,Very Favorable,Democrat
10918,Male,Very Unfavorable,Independent
10919,Male,Very Favorable,GOP
10921,Male,Very Unfavorable,Democrat
10922,Female,Very Favorable,GOP
10923,Female,Somewhat Favorable,Democrat
10924,Male,Somewhat Unfavorable,Democrat
10926,Female,Somewhat Favorable,Independent
10928,Male,Very Favorable,Independent
10929,Female,Very Unfavorable,Democrat
10933,Female,Somewhat Favorable,Independent
10935,Female,Somewhat Unfavorable,Democrat
10938,Male,Somewhat Favorable,GOP
10939,Male,Very Favorable,GOP
10940,Female,Very Unfavorable,Democrat
10941,Male,Somewhat Favorable,Democrat
10944,Female,Somewhat Favorable,Independent
10945,Male,Very Favorable,Independent
10947,Male,Very Favorable,Independent
10948,Male,Very Favorable,Independent
10949,Female,Somewhat Favorable,Independent
10951,Male,Very Favorable,GOP
10952,Female,Somewhat Unfavorable,Democrat
10954,Female,Very Favorable,GOP
10955,Male,Very Unfavorable,Democrat
10957,Male,Very Favorable,Independent
10958,Female,Very Unfavorable,Independent
10960,Female,Very Favorable,GOP
10962,Female,Somewhat Favorable,Democrat
10963,Male,Somewhat Unfavorable,Democrat
10964,Male,Somewhat Favorable,Independent
10965,Female,Somewhat Favorable,GOP
10966,Female,Somewhat Unfavorable,Independent
10967,Male,Somewhat Favorable,Independent
10969,Male,Somewhat Favorable,GOP
10971,Female,Somewhat Unfavorable,Democrat
10972,Male,Very Favorable,Independent
10973,Male,Somewhat Favorable,GOP
10974,Female,Very Unfavorable,Independent
10976,Male,Very Favorable,GOP
10977,Female,Somewhat Favorable,Democrat
10978,Female,Somewhat Favorable,GOP
10979,Female,Somewhat Unfavorable,Independent
10980,Male,Very Unfavorable,Independent
10981,Female,Very Favorable,GOP
10982,Female,Very Unfavorable,Democrat
10983,Female,Somewhat Favorable,GOP
10984,Male,Somewhat Favorable,Independent
10987,Female,Very Favorable,GOP
