precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
WILLIAMSBU,3,0,1,59,1,0,0,2,84.7,557,1525,469,3399,1003,.46759722,.44866136,2382,1056,.44332492,.31
H23,3,0,0,73,10,0,0,2,99,78,965,68,1701,115,.59130436,.56731337,1526,897,.58781129,1.59
CERRO GORD,3,0,1,72,4,0,1,14,54.6,184,572,131,1086,230,.56956524,.52670348,857,441,.51458579,.25999999
BRUSH CREE,3,0,0,55,7,0,1,1,49,0,278,0,419,1,0,.66348451,410,278,.67804879,.11
LEAKSVILLE,3,0,1,59,1,0,0,2,84.7,499,2252,422,4096,794,.53148615,.54980469,3283,1830,.55741698,.31
BAYBORO,3,0,0,71,5,0,1,2,51.7,460,833,367,1878,1016,.36122048,.44355696,871,466,.53501719,.079999998
KNOTTS ISL,3,0,0,71,5,0,1,10,66.59999999999999,0,592,0,1234,0,,.47974068,1026,592,.57699805,.11
NEWPORT 1,3,0,0,71,5,0,1,2,51.7,124,1895,101,3762,378,.26719576,.50372142,3240,1794,.55370373,.34
HOLLY GROV,3,0,0,73,10,0,0,2,99,9,1593,8,2895,15,.53333336,.55025905,2766,1585,.57302964,.41999999
MARKS CREE,3,0,0,55,3,0,1,3,57.4,1900,4661,1501,10093,3064,.4898825,.46180522,7019,3160,.45020658,.16
11-02,3,0,0,55,3,0,0,7,66.2,43,1568,40,2687,80,.5,.58355045,2360,1528,.6474576,.43000001
BOGUE,3,0,0,71,5,0,1,2,51.7,66,1123,53,1627,127,.41732284,.69022739,1436,1070,.74512535,.34
PG2,3,0,0,73,10,0,1,1,64,182,1838,153,2527,189,.80952382,.72734469,2250,1685,.74888891,1.59
HOLLOW,3,0,1,72,4,0,1,8,63.4,377,694,306,1464,679,.45066273,.47404373,767,388,.505867,.17
BROWN MARS,3,0,1,72,4,0,1,8,63.4,342,650,250,1476,636,.39308175,.44037941,820,400,.48780489,.17
COLLY,3,0,1,72,4,0,1,8,63.4,203,759,173,1441,473,.36575052,.52671754,946,586,.61945033,.17
SOUTH FRAN,3,0,0,55,7,0,0,8,56.5,14,741,10,1487,37,.27027026,.49831876,1415,731,.51660776,.15000001
48,3,0,1,64,9,0,1,0,56.2,425,1132,376,1896,509,.73870331,.59704643,1299,756,.58198613,.55000001
THOMASVILL,3,0,0,73,10,0,0,2,99,2106,12752,1711,27838,3587,.47700027,.45807889,23287,11041,.4741272,.41999999
TUSQUITTEE,3,0,0,55,7,0,0,8,56.5,0,390,0,546,0,,.71428573,508,390,.76771653,.090000004
706,3,0,0,59,0,0,0,7,88.2,166,823,151,1484,258,.5852713,.55458224,1172,672,.57337886,1.01
SOUTH SOUT,3,0,0,73,10,0,0,1,54.4,972,1555,828,2979,1805,.45872575,.52198726,1103,727,.6591115,.23999999
G17,3,0,1,59,1,0,1,3,56.2,55,1317,50,1832,69,.72463769,.71888644,1697,1267,.74661165,1.59
DUNCAN CRE,3,0,0,64,0,0,1,4,52.4,3,251,2,485,3,.66666669,.51752579,478,249,.52092052,.23999999
HARKERS IS,3,0,0,71,5,0,1,2,51.7,0,790,0,1348,0,,.58605343,1291,790,.61192876,.34
PCT 130,3,0,0,55,3,0,1,3,99,423,966,349,2897,821,.42509136,.33344838,1884,617,.32749468,1.9
STANTONSBU,3,0,0,71,5,0,1,2,60.1,300,706,254,1476,478,.53138077,.47831979,970,452,.46597937,.25
RIDENHOUR,3,0,0,55,3,0,1,3,57.4,1,1032,1,1471,10,.1,.70156354,1443,1031,.71448374,.23999999
BARRINGER,3,0,0,59,0,0,0,1,68,242,2136,203,4155,452,.44911504,.51407945,3343,1933,.57822317,.28999999
NORTH RIVE,3,0,0,71,5,0,1,2,51.7,264,381,215,581,394,.54568529,.65576589,179,166,.9273743,.34
FP05,3,0,1,72,4,0,0,0,65.09999999999999,14,1084,10,2222,22,.45454547,.48784879,2037,1074,.52724594,.46000001
UNION,3,0,0,59,0,0,0,5,61.8,0,482,0,940,1,0,.51276594,921,482,.52334422,.28999999
PELETIER,3,0,0,71,5,0,1,2,51.7,1,485,1,925,3,.33333334,.5243243,883,484,.54813135,.34
BC2,3,0,0,55,7,0,0,8,56.5,17,1234,9,2453,122,.073770493,.50305748,2308,1225,.53076255,.050000001
CAMP CREEK,3,0,0,64,0,0,1,4,52.4,91,463,79,962,173,.4566474,.48128897,782,384,.4910486,.23999999
PCT 204,2,0,0,55,3,0,0,1,54.6,910,1498,797,4256,1367,.58302855,.35197368,2622,701,.26735318,1.9
MORGAN,3,0,0,64,0,0,1,4,52.4,6,548,4,1116,9,.44444445,.49103943,1097,544,.49589789,.23999999
UNION,3,0,0,70,5,0,1,6,53,139,1670,112,3243,247,.45344129,.51495528,2938,1558,.53029269,.46000001
MERRIMON,3,0,0,71,5,0,1,2,51.7,29,307,22,565,86,.25581396,.54336286,459,285,.62091506,.34
GREENWOOD,2,0,1,64,9,0,1,4,65.7,154,1163,97,3373,334,.29041916,.34479693,2998,1066,.35557038,.43000001
UPPER UNIO,3,0,1,72,4,0,1,14,54.6,357,645,263,1440,535,.49158877,.44791666,828,382,.46135265,.17
NORTH ELEV,3,0,1,63,4,0,0,1,57.7,80,1130,71,2156,144,.49305555,.52411872,1752,1059,.60445207,.34
01-02,3,0,0,55,3,0,0,7,66.2,40,1141,36,1958,74,.48648649,.58273751,1705,1105,.64809382,.43000001
PINE KNOLL,4,0,0,71,5,0,1,2,51.7,0,926,0,1472,1,0,.62907606,1409,926,.65720367,.34
CASTALIA,3,0,1,63,4,0,1,2,60.1,306,731,260,1469,547,.47531992,.49761742,892,471,.52802688,.25999999
WIREGRASS,3,0,0,71,5,0,1,2,51.7,51,630,48,833,81,.5925926,.75630254,720,582,.80833334,.34
OLIVE HILL,3,0,1,59,1,0,1,4,65.7,172,1030,146,1714,278,.52517986,.60093349,1390,884,.63597125,.14
G58,3,0,1,59,1,0,1,3,56.2,552,879,445,2411,837,.53166068,.36457902,1515,434,.28646865,1.59
COINJOCK,3,0,0,71,5,0,1,10,66.59999999999999,46,304,38,1160,195,.1948718,.26206896,802,266,.33167082,.11
EMERALD IS,3,0,0,71,5,0,1,2,51.7,3,1855,3,3167,30,.1,.58572781,3004,1852,.61651134,.34
INSTITUTE,3,0,0,71,5,0,1,6,54.5,206,902,178,1668,407,.43734643,.54076737,1285,724,.56342411,.22
ICARD 04,3,0,0,64,0,0,0,9,99,0,1134,0,2584,4,0,.43885449,2574,1134,.44055945,.31
VIEWMONT #,3,0,0,64,0,0,0,7,99,159,2659,129,5510,373,.34584451,.48257715,4897,2530,.51664287,.40000001
PCT 217,3,0,0,70,5,0,0,4,65.2,146,1441,112,2694,161,.69565219,.53489238,2299,1329,.57807744,1.9
BURNINGTOW,3,0,0,55,7,0,0,8,56.5,0,428,0,857,4,0,.49941656,832,428,.51442307,.15000001
MILTON,3,0,1,59,1,0,0,5,57.8,803,1343,658,2258,1115,.5901345,.59477413,1137,685,.60246265,.11
PCT 221,3,0,0,70,5,0,0,1,66.7,135,2419,114,3116,149,.76510066,.77631581,2693,2305,.85592276,1.9
G21,3,0,0,73,10,0,1,3,56.2,453,2039,359,3886,968,.37086776,.52470404,2808,1680,.59829062,1.59
BLADENBORO,3,0,1,72,4,0,1,8,63.4,514,2090,400,4521,890,.44943821,.4622871,3548,1690,.47632468,.17
GLOBE/JOHN,3,0,0,64,0,0,0,9,99,13,1046,9,1503,35,.25714287,.69594145,1443,1037,.7186417,.23999999
NORTH BOON,3,0,0,73,10,0,0,5,57.8,283,1750,184,4160,338,.5443787,.42067307,3629,1566,.43152383,.37
STACY,3,0,0,71,5,0,1,2,51.7,0,129,0,176,0,,.73295456,169,129,.76331359,.34
GERMANTON,3,0,0,59,0,0,0,4,61.2,5,906,4,1452,11,.36363637,.62396693,1424,902,.63342696,.2
NORTH ALBE,3,0,0,55,3,0,1,3,57.4,1,574,1,1192,41,.024390243,.48154363,1137,573,.50395781,.23999999
ELIZABETHT,3,0,1,72,4,0,1,8,63.4,1438,2419,1053,5196,2467,.42683423,.46555042,2667,1366,.51218599,.17
BIG CREEK,3,0,0,55,7,0,1,1,49,0,15,0,32,0,,.46875,31,15,.48387095,.28999999
FALLSTON,3,0,0,64,0,0,1,4,52.4,32,897,29,1810,66,.43939394,.49558011,1714,868,.50641775,.28
COURTHOUSE,3,0,0,71,5,0,1,10,66.59999999999999,71,1647,48,2864,141,.34042552,.57506984,2263,1599,.70658416,.11
FINES CREE,3,0,0,55,7,0,1,1,49,1,558,0,821,9,0,.67965895,781,558,.71446866,.28999999
805,3,0,0,59,0,0,0,7,88.2,35,1791,31,2180,44,.70454544,.82155961,2043,1760,.86147821,1.01
025,3,0,0,55,3,0,0,1,66.7,85,1045,77,2367,197,.39086294,.4414871,1775,968,.5453521,.46000001
LOVELADY-R,3,0,0,64,0,0,0,9,99,41,1676,34,3501,75,.45333335,.47872037,3367,1642,.48767447,.23999999
PINETOWN,3,0,0,71,5,0,1,10,66.59999999999999,22,501,18,903,63,.2857143,.55481726,825,483,.58545452,.20999999
803,3,0,0,59,0,0,0,7,88.2,0,1329,0,1524,10,0,.87204725,1448,1329,.91781765,1.01
BETHWARE,3,0,0,64,0,0,1,4,52.4,92,926,81,1837,107,.75700933,.50408274,1701,845,.4967666,.28
ST STEPHEN,3,0,0,64,0,0,0,7,99,338,5515,275,7432,428,.64252335,.74206138,6677,5240,.7847836,.40000001
NORTH SMIT,3,0,1,63,4,0,0,1,57.7,528,2208,411,5339,943,.43584305,.4135606,3826,1797,.46968114,.34
LAWNDALE,3,0,0,64,0,0,1,4,52.4,446,1059,382,2273,789,.48415717,.46590409,1458,677,.4643347,.28
WILSON K,3,0,0,71,5,0,1,2,60.1,140,1229,114,1627,144,.79166669,.75537801,1441,1115,.77376825,.25
POLKVILLE,3,0,0,64,0,0,1,4,52.4,67,1196,59,2450,141,.41843972,.48816326,2269,1137,.50110179,.28
SHELBY #4,3,0,0,64,0,0,1,4,52.4,728,1341,601,2630,1256,.4785032,.50988591,1350,740,.54814816,.28
NORTH FALL,3,0,0,59,0,0,0,4,61.2,7,640,5,1110,8,.625,.57657659,1079,635,.58850789,.12
JONATHAN C,3,0,0,55,7,0,1,1,49,0,1419,0,2868,6,0,.49476987,2753,1419,.51543772,.28999999
RAMSEUR,3,0,0,73,10,0,0,1,64.7,240,1559,207,3549,507,.40828404,.43927866,2927,1352,.4619064,.40000001
NR02,3,0,0,71,5,0,1,1,51.8,905,909,707,3176,2103,.33618641,.28620908,1044,202,.19348659,.23
WEST HOWEL,3,0,1,72,4,0,1,4,99,199,553,157,1266,380,.41315788,.43680885,864,396,.45833334,.41
SHELBY #7,3,0,0,64,0,0,1,4,52.4,320,1693,286,3029,573,.49912739,.55893034,2415,1407,.5826087,.28
ASHEVILLE,3,0,0,55,7,0,1,0,55.9,4779,34180,3858,59002,9123,.42288721,.57930237,47866,30322,.63347679,.72000003
063,3,0,0,59,0,0,0,7,88.2,198,2486,180,3712,259,.69498068,.66971982,3302,2306,.69836462,1.01
CUMBHOPESTON,3,0,0,55,3,0,1,8,63.4,3937,13515,3706,28233,5636,.65755856,.47869515,22181,9809,.44222534,.64999998
SUPPLY,3,0,1,72,4,0,1,14,54.6,632,1169,510,2628,1035,.49275362,.44482496,1389,659,.47444203,.23
HARPERS CR,3,0,1,63,4,0,1,0,56.2,10,505,10,946,11,.90909094,.53382665,815,495,.60736197,.23
04-07,3,0,0,55,3,0,0,7,66.2,47,1044,43,2133,66,.65151513,.48945147,1870,1001,.53529412,.43000001
IVY HILL,3,0,0,55,7,0,1,1,49,1,1910,1,3277,14,.071428575,.58285016,3139,1909,.60815549,.28999999
WEST CLAYT,3,0,1,63,4,0,0,1,57.7,631,3154,536,4833,893,.60022396,.65259671,3430,2618,.76326531,.34
HARLOWE,3,0,0,71,5,0,1,2,51.7,2,361,2,501,2,1,.72055888,478,359,.751046,.34
GROVER C.,3,0,0,71,5,0,1,2,51.7,281,1149,238,2194,432,.55092591,.52370101,1763,911,.51673287,.27000001
ML23,3,0,0,71,5,0,1,1,51.8,133,473,102,986,224,.45535713,.47971603,741,371,.50067478,.23
CF01,3,0,1,72,4,0,0,0,65.09999999999999,659,1966,561,3992,1087,.51609933,.49248496,2690,1405,.52230483,.46000001
TRINITY EA,3,0,0,73,10,0,0,1,64.7,110,1404,83,2857,215,.3860465,.49142456,2542,1321,.51966953,.40000001
42,3,0,0,70,5,0,0,1,66.7,72,780,65,1936,98,.66326529,.40289256,1503,715,.47571525,.46000001
SOUTH WILL,3,0,1,72,4,0,1,14,54.6,901,2376,621,3571,1244,.49919614,.66535985,2330,1755,.75321889,.25999999
NORTH WILD,3,0,1,63,4,0,0,1,57.7,114,1151,96,2294,192,.5,.50174367,1830,1055,.57650274,.34
EDWARDS #2,3,0,0,59,0,0,0,5,61.8,53,597,48,1144,89,.53932583,.52185315,1035,549,.53043479,.28999999
INDIAN RID,3,0,0,71,5,0,1,10,66.59999999999999,100,615,77,1006,159,.48427674,.611332,704,538,.76420456,.11
807,3,0,0,59,0,0,0,7,88.2,97,1291,89,1645,112,.79464287,.78480244,1466,1202,.81991816,1.01
PEARCES MI,3,0,0,55,3,0,1,8,63.4,1630,3912,1356,9812,2557,.53030896,.39869547,7121,2556,.35893837,.64999998
EAST SELMA,3,0,1,63,4,0,0,1,57.7,600,1099,440,3948,1438,.30598053,.2783688,2185,659,.30160183,.34
SOUTH PLEA,3,0,1,63,4,0,0,1,57.7,47,1369,34,2569,99,.34343433,.53289217,2150,1335,.62093025,.34
RAMSEYTOWN,3,0,0,55,7,0,1,1,49,0,226,0,475,1,0,.47578949,465,226,.48602152,.11
NBOONHILL,3,0,1,63,4,0,0,1,57.7,207,1487,166,3189,386,.4300518,.46629038,2440,1321,.54139346,.34
WEST LANDI,3,0,0,73,10,0,0,1,60.2,149,1596,122,2743,199,.6130653,.58184469,2474,1474,.59579629,.44
KITTY FORK,3,0,1,72,4,0,1,6,54.5,220,1061,186,1881,406,.45812806,.56406164,1426,875,.61360449,.23
CEDAR ISLA,3,0,0,71,5,0,1,2,51.7,0,171,0,276,2,0,.61956519,262,171,.65267175,.34
SCUPPER,3,0,0,71,5,0,1,10,66.59999999999999,156,312,112,504,205,.54634148,.61904764,300,200,.66666669,.059999999
GARDNER PA,3,0,0,70,5,0,1,6,53,45,787,40,1197,46,.86956519,.65747702,1129,747,.6616475,.46000001
GREENVILLE,3,0,0,71,5,0,0,1,50.9,7765,21753,6265,51913,15703,.39896834,.41902798,34542,15488,.44838169,.38
SAVANNAH,3,0,0,55,7,0,0,8,56.5,0,445,0,968,0,,.45971075,921,445,.48317048,.18000001
HICKORY MO,3,0,1,63,4,0,1,0,56.2,195,912,177,1419,307,.57654721,.64270616,969,735,.75851393,.23
OR2,3,0,0,73,10,0,0,2,84.7,105,1325,83,1499,109,.76146787,.88392264,1338,1242,.92825115,1.59
HENDERSONV,3,0,0,55,7,0,0,1,66.7,432,4159,319,8909,957,.33333334,.4668313,7474,3840,.51378113,.34999999
HAW RIVER,3,0,1,59,1,0,0,5,57.8,1020,1770,660,4194,1405,.46975088,.42203146,2648,1110,.4191843,.37
SOUTH BUCK,3,0,0,59,0,0,0,4,61.2,0,522,0,957,3,0,.54545456,934,522,.55888653,.12
LOWER FORK,3,0,0,64,0,0,0,9,99,30,1189,25,2411,66,.37878788,.49315637,2340,1164,.4974359,.31
G40B,3,0,0,73,10,0,1,3,56.2,109,975,91,1539,168,.54166669,.63352829,1319,884,.6702047,1.59
EAST SHADY,3,0,0,59,0,0,0,1,60.2,32,1272,22,1749,46,.47826087,.72727275,1572,1250,.79516542,.14
EAST NEWTO,3,0,0,64,0,0,0,7,99,195,303,142,894,339,.41887906,.33892617,529,161,.30434781,.40000001
052,3,0,0,59,0,0,0,7,88.2,13,899,11,1224,15,.73333335,.7344771,1157,888,.76750219,1.01
OAK LEVEL,3,0,0,71,5,0,1,2,60.1,356,2074,326,2873,368,.88586956,.72189349,2423,1748,.72141975,.25999999
G43,2,0,0,73,10,0,1,3,56.2,569,1478,482,3143,708,.68079096,.47025135,2344,996,.42491469,1.59
PCT 214,3,0,0,70,5,0,0,1,54.6,551,1623,472,2925,607,.77759475,.5548718,2104,1151,.54705322,1.9
03 - LITTL,3,0,0,71,5,0,0,1,57.7,100,1543,87,2780,212,.41037735,.55503595,2548,1456,.5714286,.30000001
