state,code,region,pop,urban,deathst,citizenideol,eliteideol,govapp_power,govveto,govpower,polcomp,legprof,govparty,upcont,lowcont,const_length,const_amend
New Hampshire,29,NE,1297,59.299999,1,44.20076,18.75,3,2,6.6999998,29.01,.027000001,GOP,GOP,GOP,8000,142
New Jersey,30,NE,8675,94.400002,0,59.803249,75.442703,3,5,6.4000001,51.810001,.244,Democratic,Democratic,Democratic,16400,39
New Mexico,31,West,1900,75,1,55.131901,89.39048,3,5,8,37.099998,.109,Democratic,Democratic,Democratic,22000,120
New York,32,NE,19238,87.5,0,71.18808,49.072971,3,5,8.1000004,47.68,.48100001,GOP,GOP,Democratic,26800,207
North Carolina,33,South,8531,60.200001,1,45.622952,70.210457,3,2,6.8000002,33.419998,.198,Democratic,Democratic,Democratic,10300,27
North Dakota,34,MW,635,55.900002,0,61.62278,16.8731,3,5,7.4000001,56.580002,.050999999,GOP,GOP,GOP,18100,125
Ohio,35,MW,11461,77.400002,1,51.65855,16.07143,3,5,7.9000001,49.610001,.30399999,GOP,GOP,GOP,14200,145
Oklahoma (Civil),36,South,3522,65.300003,1,28.28548,54.597912,1,5,6.3000002,25.49,.18700001,Democratic,Democratic,Democratic,58200,133
Oregon,37,West,3589,78.699997,1,56.98505,62.331669,3,5,7.3000002,54.25,.15899999,Democratic,Democratic,GOP,11200,188
Pennsylvania,38,NE,12377,77.099998,1,53.859779,60.089279,4,5,7.5,40.189999,.33899999,Democratic,GOP,GOP,20800,19
Rhode Island,39,NE,1078,90.900002,0,67.849297,64.583328,3,2,6.4000001,39.490002,.133,GOP,Democratic,Democratic,7400,53
South Carolina,40,South,4194,60.5,1,41.14323,11.3953,2,5,7,28.32,.124,GOP,GOP,GOP,21900,463
South Dakota,41,MW,770,51.900002,1,48.681709,17.077,3,5,8.3000002,39.189999,.064000003,GOP,GOP,GOP,21300,97
Tennessee,42,South,5885,63.599998,1,40.165722,67.112732,4,4,7.6999998,26.719999,.116,Democratic,Democratic,Democratic,11100,32
Texas (Civil),43,South,22517,82.5,1,42.735569,8.6673622,1,5,7.5,21.959999,.199,GOP,GOP,GOP,28600,326
Utah,44,West,2421,88.199997,1,30.379049,10.5,3,5,6.1999998,45.290001,.064999998,GOP,GOP,GOP,13900,77
Vermont,45,NE,620,38.200001,0,66.525436,69.581909,3,2,6.3000002,49.16,.14399999,GOP,Democratic,GOP,5200,50
Virginia,46,South,7472,73,1,47.424412,51.591671,3,5,6,40.169998,.131,Democratic,GOP,GOP,18100,20
Washington,47,West,6205,82,1,57.10725,73.536346,3,5,5.9000001,53.939999,.197,Democratic,GOP,Democratic,16300,86
West Virginia,48,South,1810,46.099998,0,66.882309,83.25,4,5,6.4000001,44.970001,.124,Democratic,Democratic,Democratic,15900,62
Wisconsin,49,MW,5498,68.300003,0,51.62529,54.260139,2,5,7.8000002,49.130001,.43900001,Democratic,GOP,GOP,11400,124
Wyoming,50,West,505,65.099998,1,26.768999,39.668861,3,5,6,30.459999,.054000001,Democratic,GOP,GOP,19300,117
